The probability labels are:
[[0.9549517  0.04504828]
 [0.9797677  0.02023233]
 [0.9523776  0.04762238]
 [0.9561016  0.04389833]
 [0.95817256 0.04182743]
 [0.95525485 0.04474512]
 [0.9747117  0.02528829]
 [0.9109218  0.08907814]
 [0.95230955 0.04769047]
 [0.9638676  0.03613238]
 [0.94484127 0.05515869]
 [0.94761795 0.05238204]
 [0.9642169  0.03578311]
 [0.9546732  0.04532683]
 [0.94840336 0.05159665]
 [0.9622234  0.0377766 ]
 [0.9697645  0.03023555]
 [0.967342   0.03265805]
 [0.9642447  0.0357553 ]
 [0.97331154 0.02668847]
 [0.94857216 0.0514278 ]
 [0.96512145 0.03487851]
 [0.9678313  0.03216875]
 [0.9565835  0.04341644]
 [0.96515757 0.03484245]
 [0.95757383 0.04242624]
 [0.9513977  0.04860221]
 [0.97100115 0.02899882]
 [0.9501392  0.04986076]
 [0.9772485  0.02275152]
 [0.9488271  0.05117291]
 [0.9487281  0.05127192]
 [0.9484393  0.05156071]
 [0.9602349  0.03976507]
 [0.9373759  0.06262407]
 [0.95429426 0.0457058 ]
 [0.9725805  0.02741953]
 [0.9625604  0.03743962]
 [0.9504803  0.04951974]
 [0.95062095 0.04937911]
 [0.9421222  0.05787785]
 [0.95798534 0.04201467]
 [0.95042545 0.04957453]
 [0.9590428  0.04095718]
 [0.9627745  0.03722553]
 [0.95709777 0.04290216]
 [0.9436618  0.05633822]
 [0.9615263  0.03847369]
 [0.97881866 0.02118135]
 [0.9513696  0.04863038]
 [0.9479857  0.05201431]
 [0.97277033 0.02722969]
 [0.95640653 0.04359344]
 [0.9553314  0.04466868]
 [0.95199966 0.04800031]
 [0.9652242  0.03477579]
 [0.94832575 0.05167425]
 [0.9553997  0.04460036]
 [0.945786   0.05421406]
 [0.9560146  0.0439855 ]
 [0.9707781  0.02922191]
 [0.9534509  0.04654904]
 [0.9575805  0.04241946]
 [0.9638187  0.03618131]
 [0.96282786 0.03717216]
 [0.9643163  0.03568369]
 [0.9597768  0.04022316]
 [0.9572725  0.04272743]
 [0.96798587 0.03201409]
 [0.9696489  0.03035115]
 [0.9709873  0.02901265]
 [0.9717405  0.02825948]
 [0.96476835 0.03523163]
 [0.9471632  0.05283678]
 [0.975115   0.02488507]
 [0.9675341  0.03246589]
 [0.92783844 0.07216153]
 [0.96217936 0.03782061]
 [0.9746343  0.02536578]
 [0.93842655 0.06157349]
 [0.9672248  0.03277517]
 [0.9620733  0.03792662]
 [0.95400816 0.04599188]
 [0.94962347 0.05037651]
 [0.9412392  0.05876084]
 [0.958684   0.04131595]
 [0.95004255 0.04995744]
 [0.9653495  0.03465049]
 [0.96708083 0.03291918]
 [0.9552277  0.04477235]
 [0.95921266 0.04078734]
 [0.96478134 0.03521862]
 [0.9554755  0.04452447]
 [0.96868646 0.03131347]
 [0.934093   0.06590707]
 [0.95754355 0.04245649]
 [0.9632395  0.03676046]
