The probability labels are:
[[1.00000000e+00 3.29310019e-08]
 [1.00000000e+00 2.19277508e-22]
 [1.07902652e-02 9.89209712e-01]
 [9.60401297e-01 3.95987071e-02]
 [9.98056471e-01 1.94349035e-03]
 [9.99970198e-01 2.97658462e-05]
 [9.99862075e-01 1.37958574e-04]
 [9.96582657e-02 9.00341690e-01]
 [6.44503580e-03 9.93554890e-01]
 [1.00000000e+00 1.00596201e-13]
 [2.24067762e-01 7.75932252e-01]
 [1.00000000e+00 7.29825889e-09]
 [9.99991536e-01 8.42711506e-06]
 [2.59328485e-01 7.40671456e-01]
 [4.24046591e-02 9.57595348e-01]
 [1.00000000e+00 5.87899412e-14]
 [1.00000000e+00 6.35670222e-16]
 [9.41370487e-01 5.86294904e-02]
 [9.44197536e-01 5.58024906e-02]
 [1.00000000e+00 1.39937039e-13]
 [3.84448111e-01 6.15551889e-01]
 [9.81969059e-01 1.80309210e-02]
 [1.00000000e+00 4.05041176e-16]
 [9.99999404e-01 6.27784175e-07]
 [1.00000000e+00 1.70127407e-27]
 [6.81308731e-02 9.31869149e-01]
 [1.00000000e+00 7.04879312e-18]
 [1.00000000e+00 5.30433638e-17]
 [9.71397161e-01 2.86028404e-02]
 [1.00000000e+00 2.09234475e-22]
 [8.70986935e-03 9.91290092e-01]
 [6.59123957e-02 9.34087574e-01]
 [1.00000000e+00 6.65090541e-14]
 [9.27361608e-01 7.26384372e-02]
 [9.79966938e-01 2.00330336e-02]
 [9.72439826e-01 2.75601838e-02]
 [1.00000000e+00 9.71251345e-14]
 [1.00000000e+00 6.40579784e-17]
 [6.93421006e-01 3.06578964e-01]
 [9.43256915e-01 5.67431413e-02]
 [9.99086142e-01 9.13897704e-04]
 [2.22849220e-01 7.77150810e-01]
 [4.95996289e-02 9.50400352e-01]
 [9.85905886e-01 1.40941273e-02]
 [1.00000000e+00 1.96520400e-08]
 [9.99728382e-01 2.71641853e-04]
 [4.82795350e-02 9.51720476e-01]
 [1.00000000e+00 3.01065040e-18]
 [1.00000000e+00 1.20476542e-34]
 [3.27766269e-01 6.72233701e-01]
 [3.10609341e-02 9.68939006e-01]
 [1.00000000e+00 2.48678730e-15]
 [6.50709152e-01 3.49290818e-01]
 [9.98938978e-01 1.06099201e-03]
 [1.00000000e+00 2.03096919e-19]
 [1.00000000e+00 1.61865628e-18]
 [1.00000000e+00 5.05351552e-20]
 [2.10842155e-02 9.78915751e-01]
 [2.06956286e-02 9.79304433e-01]
 [5.79808533e-01 4.20191467e-01]
 [1.00000000e+00 1.49787585e-13]
 [1.00000000e+00 9.99644046e-26]
 [1.00000000e+00 4.11868924e-15]
 [9.99999762e-01 2.49665845e-07]
 [9.99992847e-01 7.15176293e-06]
 [8.94680262e-01 1.05319791e-01]
 [9.99999762e-01 2.20367170e-07]
 [1.00000000e+00 1.62878305e-11]
 [1.71761200e-01 8.28238785e-01]
 [9.37079906e-01 6.29201233e-02]
 [1.00000000e+00 9.51618293e-24]
 [1.00000000e+00 2.30191647e-19]
 [9.99999285e-01 7.24668837e-07]
 [2.91380398e-02 9.70861912e-01]
 [1.00000000e+00 8.84190976e-18]
 [9.97844219e-01 2.15580268e-03]
 [5.78312986e-02 9.42168653e-01]
 [8.93962104e-04 9.99105990e-01]
 [1.00000000e+00 5.11963290e-31]
 [4.21789661e-02 9.57821012e-01]
 [9.99999881e-01 1.12917874e-07]
 [9.99681354e-01 3.18681239e-04]
 [1.00000000e+00 4.80182217e-17]
 [2.27207169e-01 7.72792816e-01]
 [2.56443322e-02 9.74355698e-01]
 [9.85010803e-01 1.49891553e-02]
 [7.75756389e-02 9.22424316e-01]
 [9.99690533e-01 3.09494353e-04]
 [1.00000000e+00 3.26130141e-20]
 [7.20721961e-04 9.99279320e-01]
 [9.99916553e-01 8.34115999e-05]
 [8.73673558e-01 1.26326486e-01]
 [7.12292269e-02 9.28770840e-01]
 [9.79420781e-01 2.05792226e-02]
 [3.66560109e-02 9.63344038e-01]
 [2.54597329e-03 9.97453988e-01]
 [9.99999523e-01 5.05333446e-07]
 [1.45500491e-03 9.98545051e-01]
 [9.97319281e-01 2.68067699e-03]
 [1.00000000e+00 2.30307093e-12]
 [8.97187769e-01 1.02812231e-01]
 [9.01659834e-04 9.99098420e-01]
 [1.00000000e+00 7.28976823e-10]
 [1.00000000e+00 5.49872127e-11]
 [9.99491930e-01 5.08005614e-04]
 [9.94349539e-01 5.65046445e-03]
 [9.99981880e-01 1.81406449e-05]
 [9.36732569e-04 9.99063313e-01]
 [4.77920353e-01 5.22079587e-01]
 [9.99998450e-01 1.57877457e-06]
 [1.00000000e+00 2.38495558e-19]
 [1.00000000e+00 9.31046296e-10]
 [9.99451697e-01 5.48296783e-04]
 [6.29633009e-01 3.70366961e-01]
 [1.00000000e+00 2.84668578e-12]
 [9.99996901e-01 3.08453082e-06]
 [1.00000000e+00 1.98604599e-15]
 [2.67420948e-01 7.32579052e-01]
 [9.48437691e-01 5.15623428e-02]
 [1.00000000e+00 5.29976729e-09]
 [1.00000000e+00 3.10381558e-17]
 [6.03817940e-01 3.96182120e-01]
 [1.28537733e-02 9.87146258e-01]
 [1.00000000e+00 1.59451193e-23]
 [1.00000000e+00 4.38536407e-09]
 [9.99087811e-01 9.12249146e-04]
 [9.97892439e-01 2.10758881e-03]
 [2.94463374e-02 9.70553696e-01]
 [1.09707937e-02 9.89029169e-01]
 [1.44983048e-03 9.98550117e-01]
 [1.39715057e-03 9.98602808e-01]
 [1.00000000e+00 2.34843061e-17]
 [2.64746308e-01 7.35253692e-01]
 [8.76135472e-03 9.91238654e-01]
 [1.00000000e+00 2.21733859e-13]
 [1.00000000e+00 1.80385344e-20]
 [8.83740094e-03 9.91162658e-01]
 [2.00318149e-03 9.97996747e-01]
 [1.00000000e+00 1.66167335e-09]
 [3.62501033e-02 9.63749886e-01]
 [8.44402015e-01 1.55598015e-01]
 [9.99997854e-01 2.17188472e-06]
 [1.00000000e+00 2.57005546e-08]
 [1.00000000e+00 7.90355442e-18]
 [1.89572722e-01 8.10427308e-01]
 [3.20313871e-02 9.67968643e-01]
 [9.96119857e-01 3.88013548e-03]
 [9.99914646e-01 8.53323363e-05]
 [9.99999762e-01 1.84211828e-07]
 [1.00000000e+00 3.85008560e-14]
 [9.60186958e-01 3.98130454e-02]
 [9.99999404e-01 6.12248186e-07]
 [9.99371231e-01 6.28761540e-04]
 [1.00000000e+00 2.16141382e-13]
 [1.00000000e+00 4.75421890e-15]
 [1.20014313e-03 9.98799801e-01]
 [6.37705997e-02 9.36229408e-01]
 [1.00000000e+00 1.38734849e-19]
 [1.00000000e+00 5.22053754e-13]
 [1.00000000e+00 2.85767642e-11]
 [3.10997963e-02 9.68900204e-01]
 [1.00000000e+00 2.90405311e-10]
 [1.00000000e+00 5.90113668e-18]
 [1.39281701e-03 9.98607218e-01]
 [1.40498765e-02 9.85950172e-01]
 [1.00000000e+00 1.23483267e-19]
 [7.25051388e-03 9.92749453e-01]
 [9.99977469e-01 2.25869371e-05]
 [9.98178840e-01 1.82118500e-03]
 [9.99999881e-01 8.06199978e-08]
 [1.65780470e-01 8.34219515e-01]
 [6.06788928e-03 9.93932068e-01]
 [8.40097293e-03 9.91598964e-01]
 [5.35144063e-04 9.99464810e-01]
 [7.42906451e-01 2.57093519e-01]
 [1.00000000e+00 4.61818410e-17]
 [2.50266621e-05 9.99974966e-01]
 [1.00000000e+00 4.24132138e-13]
 [6.12659752e-01 3.87340307e-01]
 [2.53895787e-03 9.97460961e-01]
 [5.96413501e-02 9.40358698e-01]
 [9.44791827e-05 9.99905467e-01]
 [1.27787115e-02 9.87221301e-01]
 [1.75424308e-01 8.24575663e-01]
 [1.74960855e-03 9.98250306e-01]
 [1.00000000e+00 5.03364994e-09]
 [1.00000000e+00 7.38591133e-12]
 [2.16443822e-01 7.83556163e-01]
 [8.30495264e-05 9.99916911e-01]
 [9.99781668e-01 2.18337576e-04]
 [1.00000000e+00 4.31927772e-24]
 [1.00000000e+00 2.80363270e-08]
 [9.37971652e-01 6.20283708e-02]
 [8.23721290e-01 1.76278710e-01]
 [2.80807901e-04 9.99719203e-01]
 [3.23629789e-02 9.67637062e-01]
 [1.83146268e-01 8.16853762e-01]
 [9.99988675e-01 1.13177839e-05]
 [1.00000000e+00 1.06771354e-11]
 [9.99992371e-01 7.68022983e-06]
 [4.45542991e-01 5.54457068e-01]
 [9.98809457e-01 1.19050732e-03]
 [8.88401806e-01 1.11598156e-01]
 [1.00000000e+00 2.82643145e-11]
 [6.61456138e-02 9.33854342e-01]
 [9.99750078e-01 2.49871111e-04]
 [1.00000000e+00 1.71696147e-11]
 [9.44112360e-01 5.58876358e-02]
 [1.00000000e+00 3.04568065e-10]
 [6.48621656e-03 9.93513703e-01]
 [1.00000000e+00 2.77918259e-13]
 [9.99999881e-01 1.13817180e-07]
 [4.91497964e-02 9.50850248e-01]
 [1.54427126e-01 8.45572889e-01]
 [9.75115418e-01 2.48845275e-02]
 [1.77417651e-01 8.22582304e-01]
 [6.88945428e-02 9.31105435e-01]
 [5.40361367e-03 9.94596422e-01]
 [1.00000000e+00 3.20707003e-11]
 [6.32716417e-02 9.36728299e-01]
 [2.76000984e-03 9.97239947e-01]
 [9.99999166e-01 8.50838944e-07]
 [1.00000000e+00 2.94851872e-22]
 [1.06215969e-01 8.93783987e-01]
 [1.61242597e-02 9.83875692e-01]
 [9.03937340e-01 9.60626379e-02]
 [9.35279131e-02 9.06472087e-01]
 [4.80590947e-02 9.51940894e-01]
 [9.99984980e-01 1.49852240e-05]
 [9.17389512e-01 8.26104656e-02]
 [1.00000000e+00 1.43397013e-15]
 [9.93205309e-01 6.79471903e-03]
 [6.28991344e-04 9.99370992e-01]
 [2.44013712e-01 7.55986273e-01]
 [9.99976635e-01 2.33908304e-05]
 [1.00000000e+00 2.26333444e-19]
 [1.00000000e+00 5.36436395e-10]
 [8.65977407e-02 9.13402259e-01]
 [3.80189270e-02 9.61981118e-01]
 [9.99671459e-01 3.28529131e-04]
 [9.99994278e-01 5.71019473e-06]
 [1.00000000e+00 5.89767253e-25]
 [1.19095109e-02 9.88090515e-01]
 [1.10577889e-01 8.89422119e-01]
 [1.00000000e+00 7.27153458e-14]
 [9.98474181e-01 1.52575935e-03]
 [1.00000000e+00 1.98957351e-10]
 [9.11629021e-01 8.83709639e-02]
 [1.00000000e+00 2.08790484e-21]
 [1.00000000e+00 5.76113809e-11]
 [3.60661037e-02 9.63933945e-01]
 [8.73014450e-01 1.26985520e-01]
 [9.99992490e-01 7.48859247e-06]
 [4.50468138e-02 9.54953194e-01]
 [1.00000000e+00 3.03954941e-08]
 [9.95964408e-01 4.03562374e-03]
 [1.00000000e+00 1.18655156e-22]
 [2.78789967e-01 7.21210003e-01]
 [1.53322192e-02 9.84667718e-01]
 [1.18113952e-02 9.88188684e-01]
 [1.08313141e-02 9.89168644e-01]]
