The probability labels are:
[[1.00000000e+00 1.93475458e-08]
 [1.00000000e+00 2.74842289e-17]
 [4.36538868e-02 9.56346095e-01]
 [9.99957681e-01 4.23122474e-05]
 [9.99999523e-01 4.97270833e-07]
 [1.00000000e+00 8.80146178e-10]
 [1.00000000e+00 6.80423051e-09]
 [4.64571640e-02 9.53542829e-01]
 [4.84059856e-05 9.99951601e-01]
 [1.00000000e+00 2.30972359e-11]
 [6.56830296e-02 9.34316993e-01]
 [9.99999523e-01 5.26861129e-07]
 [9.99999046e-01 9.62688773e-07]
 [1.14532836e-01 8.85467172e-01]
 [8.14535141e-01 1.85464844e-01]
 [1.00000000e+00 1.11033788e-14]
 [1.00000000e+00 5.39405814e-13]
 [5.36299169e-01 4.63700801e-01]
 [9.81052279e-01 1.89477839e-02]
 [1.00000000e+00 5.57658216e-12]
 [9.96939540e-01 3.06050736e-03]
 [9.11747456e-01 8.82525444e-02]
 [1.00000000e+00 2.72460711e-13]
 [9.99990106e-01 9.83635800e-06]
 [1.00000000e+00 3.55879434e-20]
 [2.90332019e-01 7.09667981e-01]
 [1.00000000e+00 2.43092990e-10]
 [1.00000000e+00 3.62036329e-13]
 [9.99779165e-01 2.20826681e-04]
 [1.00000000e+00 1.64615093e-15]
 [1.01723462e-01 8.98276567e-01]
 [5.89766204e-02 9.41023409e-01]
 [1.00000000e+00 8.93271798e-14]
 [9.36690450e-01 6.33095652e-02]
 [9.99946356e-01 5.35998879e-05]
 [4.83887017e-01 5.16112983e-01]
 [1.00000000e+00 1.24399690e-13]
 [1.00000000e+00 1.73385262e-16]
 [9.96610940e-01 3.38899414e-03]
 [8.04815292e-01 1.95184723e-01]
 [9.99565899e-01 4.34129674e-04]
 [7.01287389e-02 9.29871321e-01]
 [4.83825477e-03 9.95161712e-01]
 [7.18379736e-01 2.81620294e-01]
 [9.99652624e-01 3.47326917e-04]
 [9.95769143e-01 4.23082756e-03]
 [6.93929493e-01 3.06070536e-01]
 [1.00000000e+00 9.74423823e-15]
 [1.00000000e+00 1.75614499e-24]
 [6.38167262e-01 3.61832678e-01]
 [1.31658509e-01 8.68341506e-01]
 [1.00000000e+00 5.88650925e-15]
 [8.66721928e-01 1.33278117e-01]
 [9.99152064e-01 8.47887655e-04]
 [1.00000000e+00 7.24224988e-13]
 [1.00000000e+00 1.83285120e-08]
 [1.00000000e+00 5.89381152e-15]
 [2.80851573e-01 7.19148397e-01]
 [1.30587211e-03 9.98694122e-01]
 [9.11157727e-01 8.88422653e-02]
 [1.00000000e+00 3.79121144e-11]
 [1.00000000e+00 2.76475498e-16]
 [1.00000000e+00 6.76435836e-14]
 [1.00000000e+00 5.90523325e-11]
 [9.98743117e-01 1.25689816e-03]
 [9.99498725e-01 5.01237519e-04]
 [9.99975562e-01 2.44037237e-05]
 [9.94123518e-01 5.87645359e-03]
 [9.99887705e-01 1.12335925e-04]
 [5.92743397e-01 4.07256544e-01]
 [1.00000000e+00 8.14149180e-15]
 [1.00000000e+00 2.83007600e-20]
 [9.99943852e-01 5.61738743e-05]
 [4.46115481e-03 9.95538771e-01]
 [1.00000000e+00 1.41368317e-16]
 [9.20395315e-01 7.96046630e-02]
 [3.35869528e-02 9.66413021e-01]
 [1.42812612e-03 9.98571873e-01]
 [1.00000000e+00 6.95194218e-17]
 [4.99557227e-01 5.00442803e-01]
